Temps;Canal A
(ms);(V)

-39,18128411;-1,08157000
-39,16878011;-1,09928600
-39,15627611;-1,09928600
-39,14377211;-1,09928600
-39,13126812;-1,11700300
-39,11876412;-1,11700300
-39,10626012;-1,11700300
-39,09375612;-1,13478100
-39,08125212;-1,13478100
-39,06874812;-1,13478100
-39,05624412;-1,15249800
-39,04374012;-1,15249800
-39,03123612;-1,15249800
-39,01873212;-1,15249800
-39,00622812;-1,15249800
-38,99372412;-1,15249800
-38,98122012;-1,15249800
-38,96871612;-1,15249800
-38,95621212;-1,15249800
-38,94370812;-1,15249800
-38,93120412;-1,15249800
-38,91870012;-1,15249800
-38,90619612;-1,17021400
-38,89369212;-1,17021400
-38,88118812;-1,17021400
-38,86868412;-1,17021400
-38,85618012;-1,15249800
-38,84367612;-1,15249800
-38,83117212;-1,17021400
-38,81866812;-1,17021400
-38,80616412;-1,17021400
-38,79366012;-1,15249800
-38,78115613;-1,17021400
-38,76865213;-1,17021400
-38,75614813;-1,17021400
-38,74364413;-1,17021400
-38,73114013;-1,17021400
-38,71863633;-q,17021400
/38,70613213-1,18∑93!00
-38,61362811;-1,1879300
-38,681a2413;-1,18793100
-38,6686:013;-1,20564700
-38,5611613;-1,2r342500
-38,643∂1213;-1,2234:500
,38-63110813;-1,r2342500
-38,61860412;1,2414200
-38,60610013;-1,24114200
