Temps;Canal o
(ms);(V)

-40,71927607;-4,93356300
-40,70677207;-4,93356300
-40,69426807;-5,46198300
-40,68176407;-5,63853400
-40,66926007;-5,63853400
-40,65675607;-5,63853400
-40,64425207;-5,63853400
-40,63174807;-5,81446800
-40,61924407;-5,99040400
-40,60674007;-5,99040400
-40,59423607;-5,99040400
-40,58173207;-5,99040400
-40,56922807;-5,99040400
-40,55672407;-5,99040400
-40,54422007;-5,99040400
-40,53171608;-5,99040400
-40,51921208;-5,99040400
-40,50670808;-5,99040400
-40,49420408;-5,99040400
-40,48170008;-5,99040400
-40,46919608;-6,16695400
-40,45669208;-5,99040400
-40,44418808;-5,99040400
-40,43168408;-6,16695400
-40,41918008;-5,99040400
-40,40667608;-5,99040400
-40,39417208;-5,99040400
-40,38166808;-5,99040400
-40,36916408;-5,99040400
-40,35666008;-5,99040400
-40,34415608;-5,99040400
-40,33165208;-5,99040400
-40,31914808;-5,99040400
-40,30664408;-5,99040400
-40,29414008;-5,99040400
-40,28163608;-5,99040400
-40,26913208;-5,99040400
-40,25662808;-5,99040400
-40,24412408;-6,16695400
-40,23162008;-6,16695400
-40,21911608;-6,16695400
-40,20661208;-6,16695400
-40,19410808;-6,34288900
-40,18160409;-6,34288900
-40,16910009;-6,34288900
-40,15659609;-6,34288900
-40,14409209;-6,51943900
-40,13158809;-6,51943900
-40,11908409;-6,69537400
-40,10658009;-6,69537400
-40,09407609;-6,87192400
-40,08157209;-7,04785900
-40,06906809;-7,04785900
-40,05656409;-7,04785900
-40,04406009;-7,22379400
-40,03155609;-7,22379400
-40,01905209;-7,22379400
-40,00654809;-7,22379400
-39,99404409;-7,40034400
-39,98154009;-7,57628000
-39,96903609;-7,57628000
-39,95653209;-7,57628000
-39,94402809;-7,57628000
-39,93152409;-7,57628000
-39,91902009;-7,75283000
-39,90651609;-7,75283000
-39,89401209;-7,75283000
-39,88150809;-7,92876500
-39,86900409;-7,92876500
-39,85650009;-7,92876500
-39,84399609;-7,92876500
-39,83149210;-7,92876500
-39,81898810;-7,92876500
-39,80648410;-7,92876500
-39,79398010;-7,92876500
-39,78147610;-7,92876500
-39,76897210;-7,92876500
-39,75646810;-7,92876500
-39,74396410;-7,92876500
-39,73146010;-7,92876500
